lastname,firstname,department,institution,course1,username,email,city,country,password
ID SIEM,NOME COMPLETO,TURMA,NOME DA ESCOLA,CURSO,,,,,
213,Miguel Silva,.5anoA,EDUCANDÁRIO JOÃO XXIII,simrede5.,2131,2131@gmail.com,Juazeiro,BR,123456
213,Silva Miguel,.5anoA,EDUCANDÁRIO JOÃO XXIII,simrede5.,2132,2132@gmail.com,Juazeiro,BR,123456
213,,,EDUCANDÁRIO JOÃO XXIII,,2133,2133@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,2134,2134@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,2135,2135@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,2136,2136@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,2137,2137@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,2138,2138@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,2139,2139@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21310,21310@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21311,21311@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21312,21312@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21313,21313@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21314,21314@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21315,21315@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21316,21316@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21317,21317@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21318,21318@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21319,21319@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21320,21320@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21321,21321@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21322,21322@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21323,21323@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21324,21324@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21325,21325@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21326,21326@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21327,21327@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21328,21328@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21329,21329@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21330,21330@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21331,21331@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21332,21332@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21333,21333@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21334,21334@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21335,21335@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21336,21336@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21337,21337@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21338,21338@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21339,21339@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21340,21340@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21341,21341@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21342,21342@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21343,21343@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21344,21344@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21345,21345@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21346,21346@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21347,21347@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21348,21348@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21349,21349@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21350,21350@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21351,21351@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21352,21352@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21353,21353@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21354,21354@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21355,21355@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21356,21356@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21357,21357@gmail.com,,,
213,,,EDUCANDÁRIO JOÃO XXIII,,21358,21358@gmail.com,,,
