id,name,email,password,remember_token,created_at,updated_at
21,02 DE JULHO,doisdejulhojuazeiro@hotmail.com,123456,,,
22,15 DE JULHO,29teste@gmail.com,123456,,,
23,25 DE JULHO,escola25.dejulho@outlook.com,123456,,,
24,AMERICO TANURI - JUNCO,3teste@gmail.com,123456,,,
25,AMÉRICO TANURY - ABÓBORA,emmsbonfim@hotmail.com,123456,,,
26,AMERICO TANURY - MANIÇOBA,4teste@gmail.com,123456,,,
27,ANÁLIA BARBOSA DE SOUZA,analiabarbosa.edu@gmail.com,123456,,,
28,ANTONIO FRANCISCO DE OLIVEIRA,36teste@gmail.com,123456,,,
29,ARGEMIRO JOSE DA CRUZ,ceajc1@hotmail.com,123456,,,
30,BOM JESUS - BARAUNA,escola_bomjesusbarauna@hotmail.com,123456,,,
31,BOM JESUS - NH1,bomjesus_nh1@hotmail.com,123456,,,
32,CAIC - MISAEL AGUILAR,escolacaicjua@gmail.com,123456,,,
33,CAXANGA,escola_caxanga@hotmail.com,123456,,,
34,CELSO CAVALCANTI DE CARVALHO,empmandacaru@gmail.com,123456,,,
35,CENTRO SOCIAL URBANO - CSU,escolacsu.jua@gmail.com,123456,,,
36,CORAÇÃO DE JESUS - JUREMA VERMELHA,5teste@gmail.com,123456,,,
37,CORAÇÃO DE JESUS - SERRA DA MADEIRA,6teste@gmail.com,123456,,,
38,DEPUTADO RAIMUNDO DA CUNHA LEITE,escola_raimundocunhaleite@hotmail.com,123456,,,
39,DOM JOSE RODRIGUES,escoladjr@gmail.com,123456,,,
40,DOUTOR EDSON RIBEIRO,31teste@gmail.com,123456,,,
41,DOUTOR JOSE ARAUJO DE SOUZA,escoladrjosedearaujo@hotmail.com,123456,,,
42,DURVAL BARBOSA DA CUNHA,escoladurvalbarbosa@gmail.com,123456,,,
43,E.M.E.I ABÓBORA,32teste@gmail.com,123456,,,
44,E.M.E.I ADJALVA FERREIRA LIMA,33teste@gmail.com,123456,,,
45,E.M.E.I AMÉLIA BORGES,7teste@gmail.com,123456,,,
46,E.M.E.I AMELIA DUARTE,8teste@gmail.com,123456,,,
47,E.M.E.I ANA MARIA MORGADO CHAVES,9teste@gmail.com,123456,,,
48,E.M.E.I ANDRÉ LUIZ,10teste@gmail.com,123456,,,
